id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/5engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;5527;530;29089;26963;46;3319;20536;1036;1539;450;18;47;47;1949;1;1846;55;50;0;39;1411;1411
40000;6563;982;44919;42608;48;4068;34536;1471;2151;301;20;67;67;2096;1;1917;114;62;0;44;8182;8182
60000;7256;1595;110591;107138;39;3256;99596;2038;1986;168;16;51;51;3234;1;2990;191;85;0;56;2934;2934
80000;6449;1869;39857;37764;36;5335;28423;1546;2222;185;12;32;32;1944;1;1839;83;55;0;44;7977;7977
100000;7889;2856;109838;106689;37;5532;72200;25237;3391;261;26;91;91;2880;1;2727;107;111;0;84;5159;5159
200000;21240;12956;108759;102836;40;8141;86558;2906;4814;288;78;147;147;5597;1;5237;309;97;0;72;22762;22762
