id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/3engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;3907;363;12274;8848;31;1854;3294;1856;1205;509;87;151;151;3119;1;2814;265;103;0;93;1658;1658
40000;7020;1065;21720;17058;44;3690;6720;3737;2162;521;179;138;138;4243;1;3713;459;198;0;172;4265;4265
60000;7429;1569;44725;41349;41;6716;29067;3015;2111;267;127;81;81;3019;1;2459;514;194;0;186;8675;8675
80000;6262;1897;29708;25556;35;6243;13215;2859;2740;304;155;113;113;3848;1;3444;378;125;0;119;5318;5318
100000;9403;3630;39127;30080;41;4578;15882;4351;4345;590;288;117;117;8674;1;8173;466;172;0;166;8688;8688
200000;17051;10858;138357;130064;39;7455;86777;30868;4023;588;306;200;200;7724;1;6887;811;287;0;276;36681;36681
