id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/4engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;4094;391;18300;15599;33;2581;8638;2436;1373;506;25;83;83;2369;1;2195;116;193;0;162;2166;2166
40000;4759;750;25112;22759;37;3859;10066;6928;1310;486;69;80;80;2124;1;1786;306;87;0;56;1962;1962
60000;7335;1593;23567;17969;40;3515;7212;4495;2210;347;144;170;170;5218;2;4884;284;128;0;100;4153;4153
80000;5900;1639;33387;29131;37;5018;17479;2823;3233;364;173;116;116;3905;2;3448;423;176;0;157;12914;12914
100000;9381;3583;51415;45161;41;3537;35704;2877;2399;378;217;149;149;5837;1;5297;493;183;0;174;7035;7035
