id;Load/Generate;resourceRestructure1;Transform;createClique/Engine;createClique/personMatcher;createClique/4engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;Save;resourceRestructure2
40000;5295;638;19083;30;2809;12857;1569;1304;424;29;4843;754
80000;9077;2329;15055;40;4950;5756;2325;1622;199;73;12123;1961
120000;12280;4818;31480;34;7660;18041;3449;1783;295;140;33258;6085
160000;11123;5745;21827;30;4374;13526;1921;1555;258;102;45869;6947
200000;15997;9277;21949;26;5309;12056;2646;1457;250;141;79357;11096

