id;Load/Generate;resourceRestructure1;Transform;createClique/Engine;createClique/personMatcher;createClique/5engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;Save;resourceRestructure2
45000;5358;721;19387;33;3378;13749;820;1158;161;11;5024;763
90000;7153;2077;28581;37;4111;21678;901;1654;121;13;12522;1951
135000;13787;6048;40307;40;7460;29501;1446;1609;157;8;25074;4494
180000;12794;7116;46909;30;4876;38814;1297;1661;156;14;46361;7275
225000;18089;11522;22767;31;5944;12821;1692;1998;194;32;82127;11675
400000;63512;50572;42473;70;7720;28050;3363;2779;276;73;290010;50742
