id;Load/Generate;resourceRestructure1;Transform;createClique/Engine;createClique/personMatcher;createClique/3engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;Save;resourceRestructure2
30000;5257;502;14870;34;3323;6797;2103;1594;862;97;4635;742
60000;6111;1149;26622;37;4616;16196;3163;1886;460;193;14297;2309
90000;10210;2895;30268;40;6297;17704;3694;1901;372;178;28329;4639
120000;8723;3358;23589;29;4275;14225;2967;1607;285;141;39892;6013
150000;12176;5088;25646;33;5135;12695;3409;3785;356;168;57949;8674
300000;35555;27765;60698;40;8182;38232;4995;2331;6546;284;276147;48617
