id;Load/Generate;resourceRestructure1;Transform;createCouples/Engine;createCouples/coupleMatcher;createCouples/commonMoviesMatcher;createCouples/personNameMatcher;createCouples/transformation;createCouples/dispose;createCouples/adding;Save;resourceRestructure2
20000;4338;395;12155;35;6636;2277;32;2083;886;130;3903;801
40000;4799;709;14425;33;7615;2538;61;3038;909;168;8344;1187
60000;5567;1111;20340;38;9303;7040;11;2764;948;176;14319;2118
80000;6759;2360;27100;45;18791;3143;17;3833;978;209;26591;3474
100000;9835;3503;36174;41;21230;3309;76;9931;1259;240;34238;5316
200000;20816;12772;56476;40;33430;10575;73;10243;1727;287;138088;19633
id;Load/Generate;resourceRestructure1;Transform;createCouples/Engine;createCouples/coupleMatcher;createCouples/commonMoviesMatcher;createCouples/personNameMatcher;createCouples/transformation;createCouples/dispose;createCouples/adding;Save;resourceRestructure2
49930;6583;905;140755;32;132869;4631;16;2005;1015;121;6537;1119
