id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/5engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;5624;526;20651;18277;46;3443;11625;1281;1428;417;23;58;58;2192;1;2098;57;31;0;6;1633;1633
40000;6417;1009;23800;21452;49;5288;11796;1781;2240;259;24;51;51;2123;1;1963;117;83;0;60;2430;2429
60000;7269;1538;35711;32761;42;6847;20741;1910;2987;213;11;32;32;2774;1;2611;133;50;0;42;2736;2735
80000;9390;2697;36502;33433;37;5154;23180;2192;2589;246;29;49;49;2769;1;2551;170;162;0;124;3778;3778
100000;10413;3696;54880;50665;42;7341;26062;12054;4782;343;34;109;109;3838;1;3472;317;177;0;139;6541;6541
200000;24101;14854;90968;85435;40;8313;69097;3077;4471;345;76;123;122;5131;1;4718;344;191;0;153;16484;16484
