id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/3engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;5712;566;20929;17495;41;3435;9061;2858;1375;601;103;124;124;3066;1;2666;346;154;0;143;2237;2237
40000;6587;914;25574;21605;56;5452;9128;4098;1983;691;190;128;127;3484;7;2974;441;266;0;242;4223;4223
60000;7388;1566;37407;31433;32;6874;11008;9459;3407;474;173;133;133;5528;1;5043;444;235;0;223;5135;5135
80000;9090;2427;37916;33347;38;6810;17662;4840;3351;393;247;139;139;4126;1;3572;512;223;0;215;11226;11226
100000;10240;3648;43526;36746;37;7314;19060;4438;5161;449;281;154;154;6254;1;5622;585;290;0;272;15882;15882
200000;21820;13480;81211;74086;44;7066;48794;13615;3658;587;316;196;196;6379;1;5600;758;455;0;440;38097;38097
