id;Load/Generate;resourceRestructure1;Transform;[et2];createClique/Engine;createClique/personMatcher;createClique/4engine;createClique/cliqueGeneration;createClique/dispose;createClique/commonMovies;createClique/adding;[et3];avg;[et4a];AVG/Engine;AVG/matcher;AVG/Sort;[et4b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;5604;539;21991;19189;86;3558;10324;2379;1657;1132;48;136;136;2331;1;2158;120;175;0;147;2177;2177
40000;6413;898;32852;29586;47;4242;14007;8457;2322;398;95;151;151;2880;1;2486;346;147;0;124;2882;2882
60000;7637;1609;35898;31833;40;6187;18585;3816;2724;322;154;137;123;3601;1;3224;344;238;0;206;3808;3808
80000;8649;2367;52410;38673;42;7088;23358;2973;4705;336;164;139;139;13307;1;12894;363;197;0;174;6158;6158
100000;10066;3610;58865;52113;44;7640;35447;3803;4621;368;185;141;141;6278;1;5795;455;241;0;226;7889;7888
200000;21264;13143;68760;56155;43;8046;37132;5065;5105;506;251;186;186;12081;1;11438;599;245;0;225;25375;25375
