id;Load/Generate;resourceRestructure1;Transform;[t2];createCouples/Engine;createCouples/coupleMatcher;createCouples/commonMoviesMatcher;createCouples/personNameMatcher;createCouples/transformation;createCouples/dispose;createCouples/adding;[t3];avg;[et1a];AVG/Engine;AVG/matcher;AVG/Sort;[et1b];Movies/matcher;Movies/Sort;Save;resourceRestructure2
20000;5488;546;20144;15689;47;8206;2944;38;3109;1116;194;256;256;3784;2;3160;571;328;0;308;2236;2236
40000;6316;935;22615;18074;47;9563;3142;29;3594;1439;254;108;108;3960;1;3553;361;385;0;322;4280;4280
60000;7663;1611;31322;26183;43;10869;3651;38;9836;1468;272;119;119;4597;1;4141;419;332;0;309;4842;4842
80000;8600;2432;36953;31746;40;20276;4339;96;5099;1566;325;135;135;4542;1;4058;444;441;0;416;12860;12860
100000;9946;3523;38252;32348;41;20379;4972;34;4996;1582;338;152;152;5234;1;4693;501;419;0;400;17858;17858
200000;21573;13308;75649;68737;41;36480;14584;125;14682;2401;419;153;153;6133;4;5411;686;542;0;534;35913;35912
